Name,Address1,Address2,phone
Yooralla,12 Rutland Road,BOX HILL VIC 3128,(03) 9897 4869
Briagolong Community House,Briagolong Mechanics&#039; Inst. Hall, 9–11 Avon St ,BRIAGOLONG VIC 3860,(03) 5145 5425
Bright Adult Education Committee,2b Railway Avenue,BRIGHT VIC 3741,(03) 5750 1243
Broadford Community Centre Incorporated,158-162 High Street,BROADFORD VIC 3658,(03) 5784 2043
Banksia Gardens Community Centre,71-81 Pearcedale Parade,BROADMEADOWS VIC 3047,(03) 9309 8531
Brite Institute (Victorian Vocational Rehabilitation Association),Cnr Belfast Street and Dallas Drive,BROADMEADOWS VIC 3047,(03) 9481 6422
Dallas Neighbourhood House,180-182 Widford Street,BROADMEADOWS VIC 3047,(03) 9302 2095
Australian Greek Welfare Society Limited,7 Union Street,BRUNSWICK VIC 3056,(03) 9388 9998
Brunswick Neighbourhood House,43A De Carle Street,BRUNSWICK VIC 3056,(03) 9386 9418
CERES,Cnr Roberts &amp; Stewart Street,EAST BRUNSWICK VIC 3057,(03) 9389 0124
Buchan Neighbourhood House,6 Centre Road,BUCHAN VIC 3885,(03) 5155 9216
Corangamite District Adult Education Group Inc,158 Manifold Street ,CAMPERDOWN VIC 3260,(03) 5593 2920
Carlton Neighbourhood Learning Centre Inc,20 Princes Street,NORTH CARLTON VIC 3054,(03) 9347 2739
North Carlton Railway Station Neighbourhood House,20 Solly Avenue,PRINCES HILL VIC 3054,(03) 9380 6654
Lyrebird Community Centre,203–205 Lyrebird Drive,CARRUM DOWNS VIC 3201,(03) 9782 0133
Old Courthouse Community Centre Inc,31 Henty Street,CASTERTON VIC 3311,(03) 5581 2139
Castlemaine and District Continuing Education Inc,30 Templeton Street,CASTLEMAINE VIC 3450,(03) 5472 3299
Castlemaine Community House,210 Barkers Road,CASTLEMAINE VIC 3450,(03) 5472 4842
Caulfield South Community House Inc,450 Kooyong Road,CAULFIELD SOUTH VIC 3162,(03) 9596 8643
Waverley Adult Literacy Program Inc,34 Amaroo Street,CHADSTONE VIC 3148,(03) 9807 2322
The Circle,33 High St ,CHARLTON VIC 3525,(03) 5491 1003
Longbeach PLACE Inc.,15 Chelsea road,CHELSEA VIC 3196,(03) 9776 1386
Cheltenham Community Centre,8 Chesterville Road,CHELTENHAM VIC 3192,(03) 9583 0095
Mind Australia,Suite 13 &amp; 14, 4-10 Jamieson Street,CHELTENHAM VIC 3192,(03) 8585 1000
SkillsPlus Ltd.,1236 Nepean Hwy,CHELTENHAM VIC 3192,(03) 8587 7600
Churchill Neighbourhood Centre Inc,9–11 Philip Parade,CHURCHILL VIC 3842,(03) 5122 2955
Dingley Village Neighbourhood Centre Inc,58 Viney St,CLARINDA VIC 3169,(03) 9558 1866
Cobram Community House Inc,43-45 Punt Road,COBRAM VIC 3644,(03) 5872 2224
Moreland Adult Education Association Inc,344 Sydney Road,COBURG VIC 3058,(03) 9383 7943
Robinson Reserve Neighbourhood House Inc,104A Reynard Street,COBURG VIC 3058,(03) 9386 7128
Jesuit Social Services Limited,1 Langridge Street,COLLINGWOOD VIC 3066,(03) 9415 8700
Corinella and District Community Centre,48 Smythe Street,CORINELLA VIC 3984,(03) 5678 0777
Corryong Neighbourhood Centre ,39 Hanson Street ,CORRYONG VIC 3707,(02) 6076 2176
Phillip Island Community and Learning Centre,56-58 Church Street,COWES VIC 3922,(03) 5952 1131
Craigieburn Education and Community Centre Inc,20 Selwyn Avenue,CRAIGIEBURN VIC 3064,(03) 9308 1477
Cranbourne Community House Inc,49 Valepark Crescent,CRANBOURNE VIC 3977,(03) 5996 2941
Merinda Park Learning and Community Centre,141-147 Endeavour Drive,CRANBOURNE NORTH VIC 3977,(03) 5996 9056
OzChild,38 Bakewell St,CRANBOURNE VIC 3199,(03) 5990 1200
Yooralla,93 Sladen Street,CRANBOURNE VIC 3977,(03) 9916 5842
Yarrunga Community Centre,76–86 Croydon Hills Drive,CROYDON HILLS VIC 3136,(03) 9722 8942
AMES,280 Thomas Street,DANDENONG VIC 3175,(03) 8791 2401
Australian Croatian Community Services,128-130 Walker Street,DANDENONG VIC 3175,(03) 9791 6000
Avocare Ltd,63 Robinson Street,DANDENONG VIC 3175,1300 665 756
Dandenong Neighbourhood House,34 King Street,DANDENONG VIC 3175,(03) 9792 5298
SkillsPlus Ltd.,44-48 Robinson Street,DANDENONG VIC 3175,(03) 9767 6900
Wellsprings for Women Inc,79 Langhorne Street,DANDENONG VIC 3175,(03) 9701 3740
Daylesford Neighbourhood Centre,13 Camp Street,DAYLESFORD VIC 3460,(03) 5348 3569
Living &amp; Learning Nillumbik (Diamond Creek),119 Cowin Street,DIAMOND CREEK VIC 3089,(03) 9433 3766
Dingley Village Neighbourhood Centre Inc,31B Marcus Road,DINGLEY VILLAGE VIC 3172,(03) 9558 1866
CELAS - Spanish Latin American Welfare Centre,80 Harbour Esplanade ,DOCKLANDS VIC 3008,(03) 9600 4633
Pines Learning,1/520 Blackburn Road,DONCASTER EAST VIC 3109,(03) 9842 6726
The Onemda Association Inc,123 Andersons Creek Road,DONCASTER EAST VIC 3109,(03) 9842 1955
Doveton Neighbourhood Learning Centre Inc,34 Oak Avenue,DOVETON VIC 3177,(03) 9791 1449
SpringDale Neighbourhood Centre,17-21 High Street,DRYSDALE VIC 3222,(03) 5253 1960
On Track Training and Employment – Future Employment Opportunities,12 Hall Street,EAGLEHAWK VIC 3556,(03) 5446 3477
Campaspe College of Adult Education,103-109 Hare Street,ECHUCA VIC 3564,(03) 5482 4601
Echuca Neighbourhood House Inc,261 High Street,ECHUCA VIC 3564,(03) 5482 6914
Kyabram Community Centre,24 Percy Street,ECHUCA VIC 3564,(03) 5480 6630
Mirrimbeena Aboriginal Education Group Inc,852 Bangarang Road,ECHUCA VIC 3564,(03) 5480 2752
Murray Human Services Inc,461 High St,ECHUCA VIC 3564,(03) 5480 6611
Living &amp; Learning Nillumbik (Eltham),739 Main Road,ELTHAM VIC 3095,(03) 9433 3744
ESNLC,87 Tennyson Street,ELWOOD VIC 3184,(03) 9531 1954
Emerald Community House,356-358 Belgrave-Gembrook Road,EMERALD VIC 3782,(03) 5968 3881
Endeavour Hills UnitingCare Neighbourhood Centre,10 Raymond McMahon Boulevard,ENDEAVOUR HILLS VIC 3802,(03) 9700 3789
Creeds Farm Living and Learning Centre Inc,2 Snugburgh Way,EPPING NORTH VIC 3076,(03) 9023 4606
Euroa Community Education Centre,46-50 Binney Street,EUROA VIC 3666,(03) 5795 2777
Mental Illness Fellowship Victoria,276 Heidelberg Road,FAIRFIELD VIC 3078,(03) 8486 4200
Mountain District Learning Centre,13–15 The Avenue,FERNTREE GULLY VIC 3156,(03) 9758 7859
Yooralla,77–79 Station Street,FERNTREE GULLY VIC 3156,(03) 9752 3316
Brotherhood of St Laurence,95-97 Brunswick Street,FITZROY VIC 3065,(03) 9288 9902
Fitzroy Learning Network Inc,198 Napier Street,FITZROY VIC 3065,(03) 9417 2897
Holden Street Neighbourhood House Inc.,128 Holden Street,NORTH FITZROY VIC 3068,(03) 9489 9929
Farnham Street Neighbourhood Learning Centre,28 Farnham Street,FLEMINGTON VIC 3031,(03) 9376 9088
AMES,289 Barkly Street,FOOTSCRAY VIC 3011,(03) 9687 3494
Angliss Neighbourhood House,2/11 Vipont Street,FOOTSCRAY VIC 3011,(03) 9687 9908
Australian Croatian Community Services,4–8 Parker Street,FOOTSCRAY VIC 3011,(03) 9689 5811
Footscray Community Arts Centre ,45 Moreland St ,FOOTSCRAY VIC 3011,(03) 9362 8809
The New Hope Foundation Inc,21 Victoria Street,FOOTSCRAY VIC 3011,(03) 9687 4500
WCIG - Westgate Community Initiatives Group Inc,Level 1, Cnr Albert &amp; Paisley Street,FOOTSCRAY VIC 3011,(03) 9689 3437
Western Bulldogs SpiritWest Services,417 Barkly Street,WEST FOOTSCRAY VIC 3011,1300 46 36 47
Foster and District Community House and Learning Centres Inc,Cnr Station Road &amp; Court Street,FOSTER VIC 3960,(03) 5682 1101
Brotherhood of St Laurence,24-26 High Street,FRANKSTON VIC 3199,(03) 8781 5900
Karingal Neighbourhood House,Karingal Place, 103 Ashleigh Ave ,FRANKSTON VIC 3199,(03) 8786 6650
Peninsula Access Support and Training Inc,Suite 1, Level 1, 108–120 Young Street ,FRANKSTON VIC 3199,(03) 9775 7333
SkillsPlus Ltd,Level 2, 54-58 Wells St,FRANKSTON VIC 3199,(03) 9781 3388
Advanced Career Training - St Laurence,229 Ryrie Street,GEELONG VIC 3220,(03) 5246 4500
Barwon Youth Education and Training Program,44 Spring Street,GEELONG WEST VIC 3218,(03) 5221 4466
Cloverdale Community Centre,167–169 Purnell Road,CORIO VIC 3214,(03) 5275 4415
Community Veracity Limited,31 Barwon Tce,SOUTH GEELONG VIC 3220,(03) 5221 2611
Diversitat,7–9 Ryan Place,GEELONG VIC 3220,(03) 5224 2329
Encompass Community Services ,400 Pakington St ,GEELONG VIC 3220,(03) 5222 3377
Geelong Regional Vocational Education Council,Suite 4, 265 Pakington Street,NEWTOWN VIC 3220,(03) 5222 8511
Karingal Training,285 Melbourne Road,NORTH GEELONG VIC 3215,(03) 5240 2100
Karingal Training,59-63 Spring Street,GEELONG WEST VIC 3218,(03) 5249 6390
Pathways Rehabilitation and Support Services ,61 Pakington Street,GEELONG WEST VIC 3218,(03 ) 5229 8295
Rosewall Neighbourhood Centre,36 Sharland Road,CORIO VIC 3214,(03) 5275 7409
YWCA Victoria Geelong,74–78 Little Malop Street,GEELONG VIC 3220,(03) 5221 6333
Macedon Ranges Further Education Centre Inc,Community Centre Hamilton Street,GISBORNE VIC 3437,(03) 5428 3799
Bestchance Training,583 Ferntree Gully Road,GLEN WAVERLEY VIC 3150,(03) 8562 5173
Wavlink Inc,36 Myrtle Street,GLEN WAVERLEY VIC 3150,(03) 9561 7104
Glenroy Neighbourhood Learning Centre Inc,5B Cromwell Street,GLENROY VIC 3046,(03) 9304 3910
CentaVic ESL Educational Services Inc,54 Maple Street,GOLDEN SQUARE VIC 3555,(0421) 693 979
Gormandale Community House and Learning Centre,32-34 Main Street,GORMANDALE VIC 3873,(03) 5197 7264
Diamond Valley Learning Centre,Cnr Diamond Creek &amp; St Helena Road,GREENSBOROUGH VIC 3088,(03) 9435 9060
Haddon Community Learning Centre,396 Sago Hill Road,HADDON VIC 3551,(03) 5342 7050
Hallam Community Learning Centre Inc,56 Kays Avenue,HALLAM VIC 3803,(03) 9703 1688
Southern Grampians Adult Education,89 Gray Street,HAMILTON VIC 3300,(03) 5571 9900
Vines Road Community Centre,37-61 Vines Road,HAMLYN HEIGHTS VIC 3215,(03) 5277 9027
Hampton Community Centre,14 Willis Street,HAMPTON VIC 3188,(03) 9598 2977
Hampton Park Community House,16-20 Stuart Avenue,HAMPTON PARK VIC 3976,(03) 9799 0708
Advance,Hastings Hub 1973 Frankston Flinders Rd ,HASTINGS VIC 3915,(03) 5986 4623
Hawthorn Community Education Centre,1st Floor, 584-586 Glenferrie Road,HAWTHORN VIC 3122,(03) 9819 5758
Healesville Living and Learning Centre,1 Badger Creek Road,HEALESVILLE VIC 3777,(03) 5962 5982
Employment Focus,1st floor, 73-75 Burgundy Street,HEIDELBERG VIC 3084,(03) 9450 5700
Olympic Adult Education,21 Alamein Road,HEIDELBERG WEST VIC 3081,(03) 9450 2665
Heyfield Community Resource Centre Inc, 5 George Street,HEYFIELD VIC 3858,(03) 5148 2100
Gateway BEET,75 Lascelles Street,HOPETOUN VIC 3396,(03) 5083 3001
Horsham Community House,4 Pearl Street,HORSHAM VIC 3400,(03) 5382 5352
Wimmera HUB,39 Urquhart Street,HORSHAM VIC 3400,(03) 5381 6701
Kangaroo Flat Community and Learning Centre,21 Woolcock Avenue,KANGAROO FLAT VIC 3555,(03) 5447 9687
LINK Neighbourhood House,50–52 Commercial Street,KANIVA VIC 3419,(03) 5392 2865
Kensington Neighbourhood House Inc,89 McCracken Street,KENSINGTON VIC 3031,(03) 9376 6366
Kerang Learning Centre Inc,11 Scoresby Street,KERANG VIC 3579,(03) 5452 2408
Kew Neighbourhood Learning Centre,2–12 Derby Street,KEW VIC 3101,(03) 9853 3126
Keysborough Learning Centre,402 Corrigan Road,KEYSBOROUGH VIC 3173,(03) 9798 7005
Kilmore &amp; District Community Group ,38 Victoria Pde ,KILMORE VIC 3764,(03) 5782 2319
Kinglake Ranges Neighbourhood House ,6 McMahons Road,KINGLAKE VIC 3763,(03) 5786 1301
South Kingsville Community Centre Inc,43 Paxton Street,SOUTH KINGSVILLE VIC 3015,(03) 9399 3000
Milpara Community House Inc,21 Shellcotts Road,KORUMBURRA VIC 3950,(03) 5655 2524
Kyabram Community Centre,107 Albion Street,KYABRAM VIC 3621,(03) 5852 0001
Kyabram Community Centre,21–25 Lake Road,KYABRAM VIC 3620,(03) 5852 0000
Kyneton Community and Learning Centre,34 Mollison Street,KYNETON VIC 3444,(03) 5422 3433
Lakes Entrance Neighbourhood House,9 Heatherlea Grove,LAKES ENTRANCE VIC 3909,(03) 5155 2277
Lalor Living and Learning Centre Inc,47A French Street,LALOR VIC 3075,(03 )9465 6409
Lancefield Neighbourhood House ,78 High St ,LANCEFIELD VIC 3435,(03) 5429 1214
Langwarrin Community Centre Inc,2 Lang Road,LANGWARRIN VIC 3910,(03) 9789 7653
Lara Community Centre Inc,9-11 Waverley Road,LARA VIC 3212,(03) 5282 2725
Laverton Community Education Centre,12 Crown Street,LAVERTON VIC 3028,(03) 9369 2726
Community College Gippsland,Nerrena Road,LEONGATHA VIC 3953,(03) 5662 6700
Long Gully Neighbourhood Centre ,Cnr Derwent &amp; Humboldt Drives,LONG GULLY VIC 3550,(03) 5442 1165
BATCH,Ted Ajani Reserve, 2/284 Thompsons Rd,LOWER TEMPLESTOWE VIC 3107,(03) 9850 3687
Australian Multicultural Community Services,Suite 111, 44-56 Hampstead Road,MAIDSTONE VIC 3012,(03) 9689 9170
Maldon Neighbourhood Centre Inc,Cnr Edwards &amp; Church Streets,MALDON VIC 3463,(03) 5475 2093
Mallacoota District Health and Support Service Inc,Corner Mattsson Street and Genoa Road,MALLACOOTA VIC 3892,(03) 5158 0243
Mansfield Adult Continuing Education Inc. (MACE),145–147 High Street,MANSFIELD VIC 3722,(03) 5775 2077
BRACE Education Training and Employment,87A Napier Street,MARYBOROUGH VIC 3465,(03) 5337 9000
Goldfields Employment and Learning Centre,88-90 Burke Street,MARYBOROUGH VIC 3465,(03) 5461 3185
Meadow Heights Learning Shop Inc,3–13 Hudson Circuit,MEADOW HEIGHTS VIC 3048,(03) 9301 9200
AMES,Level 3, 255 William Street,MELBOURNE VIC 3000,(03) 9926 4717
AMES,Level 4, 1 Little Collins Street,MELBOURNE VIC 3000,(03) 9938 4000
Centre for Adult Education,253 Flinders Lane,MELBOURNE VIC 3000,(03) 9652 0611
Yooralla,Level 2, 244 Flinders Street,MELBOURNE VIC 3000,(03) 9916 5842
Djerriwarrh Community &amp; Education Services,239 Station Road,MELTON VIC 3337,(03) 8746 1000
Melton South Community Centre Inc,26 Exford Road,MELTON SOUTH VIC 3338,(03) 9747 8576
Meredith Community Centre Inc,4 Russell Street,MEREDITH VIC 3333,(03) 5286 1348
East End Community House,8 Dove Place,MILDURA VIC 3502,(03) 5022 8497
MADEC Community College,133 Madden Avenue,MILDURA VIC 3500,(03) 5023 7233
Sunraysia Mallee Ethnic Communities Council ,38–40 Madden Ave, MILDURA VIC 3500,(03) 5022 1006
Mill Park Community House,68 Mill Park Drive,MILL PARK VIC 3082,(03) 9404 4565
Mitcham Community House Inc,19 Brunswick Road,MITCHAM VIC 3132,(03) 9873 4587
Gippsland Employment Skills Training Inc (GEST),7 Anzac Street,MOE VIC 3825,(03) 5127 4544
Moe Life Skills Community Centre Inc,2A High Street,MOE VIC 3825,(03) 5127 7999
Moe Neighbourhood House,1–11 James Street,MOE VIC 3825,(03) 5126 3123
Japara Neighbourhood House Inc,13 Leith Road,MONTROSE VIC 3765,(03) 9728 3587
JobCo Training,Suite 7, 12 Pascoe Vale Rd,MOONEE PONDS VIC 3039,(03) 9326 0322
TaskForce Community Agency,421 South Road,MOORABBIN VIC 3189,(03) 9532 0811
Mooroopna Education and Activity Centre Inc,23 Alexandra Street,MOOROOPNA VIC 3629,(03) 5825 1774
Mordialloc Neighbourhood House Inc,457 Main Street,MORDIALLOC VIC 3195,(03) 9587 4534
Advance MPYE,43 Mitchell St ,MORNINGTON VIC 3931,(03) 5986 4623
Mornington Community Contact Inc,9-11 Albert Street,MORNINGTON VIC 3931,(03) 5975 4772
Berry Street Victoria,37 Elgin Street,MORWELL VIC 3840,(03) 5134 5971
BNYM Aboriginal Corporation,41 Tarwin Street,MORWELL VIC 3840,(03) 5133 0325
Community College Gippsland,58-60 Commercial Road,MORWELL VIC 3840,(03) 5175 0866
Cooinda Hill,256 Commercial Road,MORWELL VIC 3840,(03) 5133 0608
Morwell Neighbourhood House and Learning Centre Inc,48-50 Beattie Crescent,MORWELL VIC 3840,(03) 5134 5488
McCullough Institute,Tennis Court Avenue,MOUNT BEAUTY VIC 3699,(03) 5754 1166
Mount Eliza Village Neighbourhood Centre Inc,90–100 Canadian Bay Road,MOUNT ELIZA VIC 3930,(03) 9787 8160
Knoxbrooke Inc,136 York Road,MOUNT EVELYN VIC 3796,(03) 9737 0400
Upper Yarra Community House (Mt Evelyn),Old Hereford Rd,MOUNT EVELYN VIC 3796,(03) 9736 1457
Mount Martha Community Learning Centre,Cnr Dominion Road &amp; Esplanade,MOUNT MARTHA VIC 3934,(03) 5974 2092
Waverley Community Learning Centre,5 Fleet Street,MOUNT WAVERLEY VIC 3149,(03) 9807 6011
King Valley Learning Exchange,2533 Wangaratta-Whitfield Rd,MOYHU VIC 3672,(03) 5727 9548
Mulgrave Neighbourhood House Inc,36-42 Mackie Road,MULGRAVE VIC 3170,(03) 9548 3311
Myrtleford Neighbourhood Centre,156 Myrtle St ,MYRTLEFORD VIC 3736,(03) 5752 2775
Narre Community Learning Centre Inc,1 Malcolm Court,NARRE WARREN VIC 3805,(03) 9704 7388
Nathalia District Community Association Inc,44 Blake Street,NATHALIA VIC 3638,(03) 5866 2449
Newport Community Education Centre ,43 Mason Street,NEWPORT VIC 3015,(03) 9391 8504
Nhill Neighbourhood House Learning Centre Inc,80 MacPherson Street,NHILL VIC 3418,(03) 5391 2196
AMES,60 Douglas Street,NOBLE PARK VIC 3174,(03) 8558 8800
Jan Wilson Community Centre,Lot 1 Halton Road,NOBLE PARK NORTH VIC 3174,(03) 9795 9279
Noble Park Community Centre,Ross Reserve, Memorial Drive,NOBLE PARK VIC 3174,(03) 9547 5801
Yooralla,1 Mons Parade,NOBLE PARK VIC 3174,(03) 9916 5842
Australian Romanian Community Welfare,55 Melrose Street,NORTH MELBOURNE VIC 3051,(03) 9348 9066
North Melbourne Language and Learning Inc,Ground floor, 33 Alfred Street,NORTH MELBOURNE VIC 3051,(03) 9326 7447
The Centre Connecting Community in North and West Melbourne Inc,58 Errol Street,NORTH MELBOURNE VIC 3051,(03) 9328 1126
Arts Project Australia,24 High Street,NORTHCOTE VIC 3070,(03) 9482 4484
Brite Institute (Victorian Vocational Rehabilitation Association),463 High Street,NORTHCOTE VIC 3070,(03) 9481 6422
Jika Jika Community Centre Inc,Cnr Plant &amp; Union Streets,NORTHCOTE VIC 3070,(03) 9482 5100
National Workplace Training,1st Floor, 18 Business Park Drive,NOTTING HILL VIC 3168,(03) 9548 8814
Numurkah Community Learning Centre Inc,43 Melville Street,NUMURKAH VIC 3636,(03) 5862 2249
AMES,1A Palmerston Grove,OAKLEIGH VIC 3166,(03) 9563 4777
Ocean Grove Neighbourhood Centre Inc,91 The Parade,OCEAN GROVE VIC 3226,(03) 5255 4294
Orbost Telecentre Inc,21 Ruskin Street,ORBOST VIC 3888,(03) 5154 1788
Glen Eira Adult Learning Centre Inc,419 North Road,ORMOND VIC 3204,(03) 9578 8996
Community College Gippsland,45B Main Street,PAKENHAM VIC 3810,(03) 5940 8152
Living Learning Pakenham,6B Henry Street,PAKENHAM VIC 3810,(03) 5941 2389
Outlook Inc,24 Toomuc Valley Road,PAKENHAM VIC 3810,(03) 5941 1535
OzChild,126 Princes Hwy,PAKENHAM VIC 3810,(03) 9695 2200
Living &amp; Learning Nillumbik (Panton Hill),18 Bishops Road,PANTON HILL VIC 3759,(03) 9433 3799
Park Orchards Community House &amp; Learning Centre,572 Park Road,PARK ORCHARDS VIC 3114,(03) 9876 4381
Park Orchards Community House &amp; Learning Centre,Domeney Recreation Centre 52 Knees Rd,PARK ORCHARDS VIC 3114,(03) 9876 4381
Sussex Neighbourhood House Inc,235 Sussex St,PASCOE VALE VIC 3044,(03) 9354 2210
Yooralla,2–10 Prospect Street,PASCOE VALE VIC 3044,(03) 9354 1012
Paynesville Neighbourhood Centre Inc,55 The Esplanade,PAYNESVILLE VIC 3880,(03) 5156 0214
Port Fairy Community Group Inc,Railway Place,PORT FAIRY VIC 3284,(03) 5568 2681
Port Melbourne Neighbourhood Centre,Cnr Liardet &amp; Nott Streets,PORT MELBOURNE VIC 3207,(03) 9645 1476
Portland WorkSkills,Shop 14, Pioneer Plaza,PORTLAND VIC 3305,(03) 5523 1645
Prahran Community Learning Centre Inc,40 Grattan Street,PRAHRAN VIC 3181,(03) 9510 7052
Prahran Mission,211 Chapel Street,PRAHRAN VIC 3181,(03) 9510 9627
The New Hope Foundation Inc,40 Grattan Street,PRAHRAN VIC 3181,(03) 9510 5877
Preston Neighbourhood House Inc,218 High Street,PRESTON VIC 3072,(03) 9484 5806
Queenscliffe and District Neighbourhood House Inc,3 Tobin Drive,QUEENSCLIFFE VIC 3225,(03) 5258 3367
Rainbow Learning Group and Neighbourhood House Inc,9 Eddy Street,RAINBOW VIC 3424,(03) 5395 1428
Red Cliffs Community Resource Centre ,23 Indi Ave ,RED CLIFFS VIC 3496,(03) 5024 3455
Preston Reservoir Adult Community Education Inc,Merrilands Community Centre, Cnr Asquith &amp; Sturdee Sts,RESERVOIR VIC 3073,(03) 9462 6077
Acacia Indochinese Community Support Association Inc,13 Belgium Avenue,RICHMOND VIC 3121,(03) 9429 8890
Australian Vietnamese Women&#039;s Association,30 Lennox Street,RICHMOND VIC 3121,(03) 9428 9078
Belgium Avenue Neighbourhood House Inc,9 Belgium Avenue,RICHMOND VIC 3121,(03) 9428 1676
Carringbush Adult Education Inc,415 Church Street,RICHMOND VIC 3121,(03) 9421 2392
Finbar Neighbourhood House Inc,143 Kent St,RICHMOND VIC 3121,(03) 9428 7668
FKA Children&#039;s Services ,9–11 Stewart Street,RICHMOND VIC 3121,(03) 9428 4471
Richmond Community Learning Centre Inc,92–94 Lord Street,RICHMOND VIC 3121,(03) 9428 9901
Central Ringwood Community Centre Inc,Bedford Park, Bedford Road,RINGWOOD VIC 3134,(03) 9870 2602
North Ringwood Community House,120 Oban Road,RINGWOOD NORTH VIC 3134,(03) 9876 3421
Robinvale Network House Inc,1 Maples Lane,ROBINVALE VIC 3549,(03) 5026 4128
Advance,1/16 Henry Wilson Dr,ROSEBUD VIC 3939,(03) 5986 4623
Peninsula Adult Education and Literacy Inc,15 Mitchell Street,ROSEBUD VIC 3939,(03) 5986 8177
SkillsPlus Ltd.,13 Ninth Avenue,ROSEBUD VIC 3939,(03) 5982 0300
Rosedale Neighbourhood House,2–8 Cansick Street,ROSEDALE VIC 3847,(03) 5199 2595
Rowville Neighbourhood Learning Centre Inc,40 Fulham Road,ROWVILLE VIC 3178,(03) 9764 1166
