DHS Office Location,Telephone,Type of office,LGA1,LGA2,LGA3,LGA4,LGA5,LGA6,LGA7,LGA8,LGA9,LGA10
"71 Moreland Street, Footscray 3011",Tel: 1300 360 462,Local Office,Hobsons Bay,Maribyrnong,Melbourne,Moonee Valley,Wyndham,,,,,
"480 Lygon Street, Carlton 3053",Tel: (03) 9341 8200,Housing office,Hobsons Bay,Maribyrnong,Melbourne,Moonee Valley,Wyndham,,,,,
"33 Alfred Street, North Melbourne 3051",Tel: (03) 9326 6377,Housing office,Hobsons Bay,Maribyrnong,Melbourne,Moonee Valley,Wyndham,,,,,
"12 Churchill Avenue, Ascot Vale 3032",Tel: (03) 9371 6200,Housing office,Hobsons Bay,Maribyrnong,Melbourne,Moonee Valley,Wyndham,,,,,
"253 Eleventh Street, Mildura 3500",Tel: (03) 5022 3111,Local Office,Buloke,Gannawarra ,Mildura,Swan Hill,,,,,,
"210 Beveridge Street, Swan Hill 3585",Tel: (03) 5032 0100,Local Office,Buloke,Gannawarra ,Mildura,Swan Hill,,,,,,
"74-78 Queen Street, Bendigo 3550",Tel: (03) 5434 5555 ,Local Office,Campaspe,Central Goldfields,Greater Bendigo,Loddon,Macedon Ranges,Mount Alexander,,,,
"128 Hare Street, Echuca VIC 3564",Tel: (03) 5482 1866,Housing office,Campaspe,Central Goldfields,Greater Bendigo,Loddon,Macedon Ranges,Mount Alexander,,,,
"56-58 Coleraine Street, Broadmeadows 3047",Tel: (03) 9309 1255,Housing office,Hume,Moreland,,,,,,,,
"679 High Street, Preston 3072",Tel: 1300 664 977,Local Office,Banyule,Darebin,Nillumbik,Whittlesea,Yarra,,,,,
"145 Smith Street, Fitzroy 3065",Tel: 1300 360 408,Local Office,Banyule,Darebin,Nillumbik,Whittlesea,Yarra,,,,,
"229 Hoddle Street, Collingwood VIC 3066",Tel:(03) 9417 5144,Housing office,Banyule,Darebin,Nillumbik,Whittlesea,Yarra,,,,,
"90 Brunswick Street, Fitzroy 3065",Tel: (03) 9093 5000,Local Office,Banyule,Darebin,Nillumbik,Whittlesea,Yarra,,,,,
"112 Elizabeth Street, Richmond 3121",Tel: (03) 9429 5174,Housing office,Banyule,Darebin,Nillumbik,Whittlesea,Yarra,,,,,
"163-167 Welsford Street, Shepparton 3630",Tel: (03) 5832 1500,Local Office,Greater Shepparton,Mitchell,Moira,Murrindindi ,Strathbogie,,,,,
"16 Station Street, Seymour 3660",Tel: (03) 5793 6400,Local Office,Greater Shepparton,Mitchell,Moira,Murrindindi ,Strathbogie,,,,,
"43 - 47 Rowan Street, Wangaratta 3677",Tel: (03) 5722 0555,Local Office, Alpine,Benalla,Indigo,Mansfield,Towong,Wangaratta, Wodonga,,,
"26 Church Street, Benalla 3672",Tel: (03) 5761 1222,Local Office, Alpine,Benalla,Indigo,Mansfield,Towong,Wangaratta, Wodonga,,,
"55 Hovell Street, Wodonga 3690",Tel: (02) 6055 7777,Local Office, Alpine,Benalla,Indigo,Mansfield,Towong,Wangaratta, Wodonga,,,
"883 Whitehorse Road, Box Hill 3128 ",Tel: (03) 9843 6000 ,Local Office,Boroondara,Manningham,Monash,Whitehorse,,,,,,
"25 Ringwood Street, Ringwood 3134                             ","Tel: (03) 9871 5199 (housing only), all other queries, please call 9843 6000",Local Office,Knox,Maroondah,Yarra Ranges,,,,,,,
"7 Service Street, Bairnsdale 3875",Tel: (03) 5150 4500,Local Office,East Gippsland,Wellington,,,,,,,,
"150 York Street, Sale 3850",Tel: (03) 5144 9100,Local Office,East Gippsland,Wellington,,,,,,,,
"64 Church Street, Traralgon 3844",Tel: (03) 5177 2500,Local Office,Latrobe,South Gippland,Latrobe,Baw Baw,,,,,,
"9b Bruce Street, Leongatha 3853",Tel: (03) 5662 4311 ,Local Office,Latrobe,South Gippland,Latrobe,Baw Baw,,,,,,
"9-11 Hazelwood Road, Morwell 3840 ",Tel: (03) 5136 2400,Local Office,Latrobe,South Gippland,Latrobe,Baw Baw,,,,,,
"70 Smith Street, Warragul, 3820",Tel: (03) 5624 0600,Local Office,Latrobe,South Gippland,Latrobe,Baw Baw,,,,,,
"431 Nepean Hwy, Frankston 3199",Tel: 9784 3100,Local Office,Bayside,Frankston,Glen Eira,Kingston,Mornington Peninsula,Port Phillip,Stonnington,,,
"4-10 Jamieson Street, Cheltenham 3192 ",Tel:  8585 6000,Local Office,Bayside,Frankston,Glen Eira,Kingston,Mornington Peninsula,Port Phillip,Stonnington,,,
"255 High Street, Prahran 3181",Tel: (03) 9096 9996,Housing office,Bayside,Frankston,Glen Eira,Kingston,Mornington Peninsula,Port Phillip,Stonnington,,,
"Level 2, 120 Clarendon Street, South Melbourne 3205",Tel: (03) 8646 3600,Housing office,Bayside,Frankston,Glen Eira,Kingston,Mornington Peninsula,Port Phillip,Stonnington,,,
"165-169 Thomas Street, Dandenong 3175",Tel: 1300 555 526,Local Office,Cardinia,Casey,Greater Dandenong,,,,,,,
